from,to,value
397,395,1400.47
313,317,492.83
317,319,595.34
319,314,151.07
390,389,74.98
387,388,75.04
388,386,223.63
385,386,376.89
392,385,534.06
400,352,403.43
375,342,291.49
405,375,639.8
374,404,645.08
340,336,889.3
207,332,100.62
206,205,1.3
207,336,126.08
241,207,98.88
241,203,79.21
226,240,164.32
174,202,30.62
203,175,32.79
201,174,24.69
175,200,23.99
231,214,462.04
220,231,73.88
330,220,77.68
220,331,561.44
222,331,550.27
190,201,75.38
200,191,68.44
190,230,31.92
191,230,37.06
229,190,38.77
229,191,42.54
230,228,26.64
228,226,64.11
223,225,43.26
226,224,99.73
223,221,58.86
218,330,134.09
177,220,271.72
177,216,87.66
244,185,48.27
243,246,44.85
245,244,50.86
247,245,45.22
216,325,71.27
237,227,113.5
237,179,72.85
237,178,73.12
281,283,142.67
282,215,223.73
115,166,109.71
116,162,33.26
169,162,712.83
165,164,37.01
164,189,129.79
208,187,45.63
209,187,47.32
189,194,58.4
235,233,28.34
222,306,167.78
307,220,160.99
309,282,796.32
281,283,142.67
281,307,390.1
283,284,185.53
315,277,308.21
316,276,297.85
277,307,174.77
278,307,177.75
280,307,177.25
277,301,60.69
279,301,63.2
280,301,58.19
301,310,60.89
210,186,92.83
211,236,171.15
118,196,273.72
195,117,276.02
197,195,46.82
198,195,104.66
199,130,89.58
199,195,104.09
248,249,35.96
249,250,42.24
186,280,208.21
310,275,28.91
275,269,85.42
275,298,53.12
276,298,57.45
276,269,79.11
302,270,17.82
303,270,18.51
304,270,18.73
274,297,99.54
274,142,39.24
141,144,17.83
142,144,18.4
108,274,64.31
149,108,30.35
249,149,63.97
143,107,25.78
143,137,24.89
144,137,25.62
144,107,25.36
145,107,24.08
146,137,24.64
136,145,21.12
137,148,20.28
138,145,21.83
138,148,22.44
147,136,24.72
148,140,16.96
139,147,16.6
140,134,22.98
132,139,23.49
133,139,26.59
135,139,24.95
157,133,22.52
158,133,22.38
158,160,62.78
159,157,62.17
159,129,36.67
160,129,37.07
161,157,61.52
128,158,23.85
128,127,42.46
122,128,66.56
123,128,67.1
129,198,87.85
129,125,100.52
130,125,101.46
130,161,38.42
120,123,296.1
121,123,294.63
151,32,236.59
153,151,26.62
152,151,26.15
154,155,115.64
156,153,115.81
155,150,91.6
258,323,151.27
259,323,151.27
286,289,84.4
287,289,87.8
253,259,153.22
258,254,153.22
309,290,76.22
309,253,44.05
308,253,42.97
308,293,80.02
289,292,67.47
289,349,163.36
289,308,74.26
290,349,164.67
290,288,86.85
290,292,65.06
291,288,87.96
291,349,162.26
291,308,76.57
292,264,133.67
265,357,16.75
264,356,227.73
293,11,261.11
294,309,78.67
9,346,52.54
380,345,12.99
378,377,26.23
379,380,21.72
376,379,26.75
362,355,9.42
362,376,41.72
300,271,25.68
299,273,92.52
272,300,95.36
273,24,47.79
25,272,43.26
42,370,179.16
42,10,35.93
42,45,95.13
43,45,97.62
43,25,155.13
43,370,178.82
370,400,1691.44
372,364,60.04
373,364,59.24
363,356,120.75
363,19,18.09
364,19,20.51
364,356,119.43
364,321,26.01
19,354,2.49
355,18,116.63
354,367,39.31
365,347,93.7
365,353,39.96
366,353,41.56
366,347,93.23
367,347,92.17
322,363,20.83
343,96,93.09
37,36,69.6
344,373,60.78
368,344,30.33
361,368,76.74
361,322,66.84
361,55,46.79
81,77,111.64
347,81,42.44
100,81,71.8
54,100,50.74
55,52,12.56
55,100,51.55
56,52,15.12
50,54,13.28
50,49,58.27
51,3,338.43
51,54,14.53
51,49,56.65
52,49,59.86
52,3,340.73
53,54,18.06
53,3,334.73
71,17,15.6
49,17,71.1
71,47,35.7
16,47,40.89
48,58,225.25
76,23,124.53
76,98,28.15
76,97,76.04
23,48,126.09
23,75,45.04
37,44,68.17
38,44,67.74
36,27,134.14
36,33,122.23
36,99,124.55
99,23,129.59
23,75,45.04
23,48,126.09
8,48,172.05
7,48,172.05
8,72,51.67
7,72,51.67
74,48,172.66
75,72,52.7
73,5,100.31
73,74,51.9
73,26,70.5
72,26,71.61
72,5,98.89
26,30,42.96
27,30,41.31
12,29,59.63
12,71,364.78
12,29,59.63
31,124,153.78
31,28,64.03
32,124,154.53
32,28,63.26
106,109,98.81
171,170,39.6
171,106,101.64
170,141,98.2
169,141,99.65
109,171,5.89
109,256,4.42
257,171,6.83
40,171,44.43
41,132,188.02
33,41,56.96
33,31,134.07
14,13,48.18
13,34,74.28
39,40,85.31
35,39,38.31
34,37,73.14
151,32,236.59
153,151,26.62
152,151,26.15
152,155,115.23
154,155,115.64
156,153,115.81
155,150,91.6
150,95,764.92
150,20,100.86
105,113,318.11
88,360,139.54
398,88,128.54
78,80,110.03
79,80,110.7
57,79,112.88
60,59,4.13
60,64,307.32
61,64,307.32
62,59,67.37
58,61,4.94
92,93,67.49
93,94,29.7
95,91,71.04
65,67,32.99
66,84,28.36
67,84,30.42
82,68,29.54
83,63,61.31
83,68,29.88
84,63,61.02
63,62,247.16
64,82,61.74
70,90,25.46
70,83,69.47
89,83,72.39
401,402,26.28
334,374,735.65
341,374,283.77
342,374,283.77
374,404,645.08
375,333,740.11
350,352,222.16
352,400,403.43
352,374,200.87
